Ramazan Köprü,FSRFT—Fast Simplified Real Frequency Technique via Selective Target Data Approach for Broadband Double Matching,2017
Abhisek K. Behera and Bijnan Bandyopadhyay,Robust Sliding Mode Control: An Event-Triggering Approach,2017
Junkang Ni and Ling Liu and Chongxin Liu and Xiaoyu Hu and Shilei Li,Fast Fixed-Time Nonsingular Terminal Sliding Mode Control and Its Application to Chaos Suppression in Power System,2017
Xinmin Song and Ju H. Park,Linear Optimal Estimation for Discrete-Time Measurement Delay Systems With Multichannel Multiplicative Noise,2017
Kyunghoon Chung and Seong-Kwan Hong and Oh-Kyong Kwon,A Fast and Compact Charger for an Li-Ion Battery Using Successive Built-In Resistance Detection,2017
Yan Lu and Haojuan Dai and Mo Huang and Man-Kay Law and Sai-Weng Sin and Seng-Pan U and Rui P. Martins,A Wide Input Range Dual-Path CMOS Rectifier for RF Energy Harvesting,2017
Lauren Guckert and Earl E. Swartzlander,MAD Gates—Memristor Logic Design Using Driver Circuitry,2017
Dimitrios Balobas and Nikos Konofaos,Design of Low-Power High-Performance 2–4 and 4–16 Mixed-Logic Line Decoders,2017
Jin Wu and Qi Jiang and Ke Song and Lixia Zheng and Dongchen Sun and Weifeng Sun,Implementation of a High-Precision and Wide-Range Time-to-Digital Converter With Three-Level Conversion Scheme,2017
Xiaoyong Xue and Yarong Fu and Yanqing Zhao and Juan Xu and Jianguo Yang and Yufeng Xie and Yinyin Lin and Ryan Huang and Qingtian Zou and Jingang Wu,Dynamic Data-Dependent Reference to Improve Sense Margin and Speed of Magnetoresistive Random Access Memory,2017
Wenchao Qian and Pai-Yu Chen and Robert Karam and Ligang Gao and Swarup Bhunia and Shimeng Yu,Energy-Efficient Adaptive Computing With Multifunctional Memory,2017
Dongdong Wang and Bo Zhang and Dongyuan Qiu and Fan Xie and Duqu Wei,Stability Analysis of the Coupled Synchronous Reluctance Motor Drives,2017
Huaqing Li and Guo Chen and Xiaofeng Liao and Tingwen Huang,Attraction Region Seeking for Power Grids,2017
Panagiotis Giounanlis and Sergi Gorreta and Manuel Dominguez-Pumar and Joan Pons-Nin and Orla Feely and Elena Blokhina,$\Sigma\Delta$ Effects and Charge Locking in Capacitive MEMS Under Dielectric Charge Control,2017
Choon Ki Ahn and Yuriy S. Shmaliy and Peng Shi and Yuxin Zhao,Receding-Horizon $l_{2}{-}l_{\infty}$ FIR Filter With Embedded Deadbeat Property,2017
